Project,hole_id,depth_from,depth_to,ModelStratigraphy
RSP,RSP19,149,158.1,RAT
RSP,RSP19,158.1,164.8,MV
RSP,RSP19,164.8,167.8,RSF/DSTRAT
RSP,RSP19,167.8,173.1,RSF/DSTRAT
RSP,RSP19,173.1,184.7,RSC
RSP,RSP19,184.7,186.9,SD
RSP,RSP19,186.9,203,SD
RSP,RSP19,203,233,SD
RSP,RSP19,233,251,SD
RSP,RSP20,0,5.2,SOIL
RSP,RSP20,5.2,11.4,SOIL
RSP,RSP20,11.4,23.4,LATERITE
RSP,RSP20,23.4,120.6,RAT
RSP,RSP20,120.6,176.4,BRECCIA
RSP,RSP20,176.4,182.4,RAT
RSP,RSP20,182.4,186.3,MV
RSP,RSP20,186.3,190.9,RSF/DSTRAT
RSP,RSP20,190.9,193.9,RSF/DSTRAT
RSP,RSP20,193.9,206.5,RSC
RSP,RSP20,206.5,210.4,SD
RSP,RSP21,0,5.8,SOIL
RSP,RSP21,5.8,20.2,LATERITE
RSP,RSP21,20.2,89.5,RAT
RSP,RSP21,89.5,92.5,BRECCIA
RSP,RSP21,92.5,113.5,RAT
RSP,RSP21,113.5,130.4,BRECCIA
RSP,RSP21,130.4,140.6,RAT
RSP,RSP21,140.6,146.4,BRECCIA
RSP,RSP21,146.4,151.9,RAT
RSP,RSP21,151.9,159.7,MV
RSP,RSP21,159.7,163.3,RSF/DSTRAT
RSP,RSP21,163.3,167.3,RSF/DSTRAT
RSP,RSP21,167.3,173.5,RSC
RSP,RSP22,0,1,SOIL
RSP,RSP22,1,3.7,SOIL
RSP,RSP22,3.7,12,LATERITE
RSP,RSP22,12,126,RAT
RSP,RSP22,126,138,BRECCIA
RSP,RSP22,138,157,RAT
RSP,RSP22,157,165.3,BRECCIA
RSP,RSP22,165.3,170.3,MV
RSP,RSP22,170.3,173,RSF/DSTRAT
RSP,RSP22,173,177,RSF/DSTRAT
RSP,RSP22,177,190,RSC
RSP,RSP24,0,2.5,SOIL
RSP,RSP24,2.5,9.5,LATERITE
RSP,RSP24,9.5,38.9,CMN
RSP,RSP24,38.9,52.8,BOMZ
RSP,RSP24,52.8,176.7,CMN
RSP,RSP24,176.7,185.5,BRECCIA
RSP,RSP26,0,3,Soil
RSP,RSP26,3,9,LATERITE
RSP,RSP26,9,59.89,Rat
RSP,RSP26,59.89,78.82,BRECCIA
RSP,RSP26,78.82,91.62,Rat
RSP,RSP26,91.62,100,BRECCIA
RSS,RSS02,0,2.3,SOIL
RSS,RSS02,2.3,80,CMN
RSS,RSS04,0,50,CMN
RSS,RSS05,0,5.7,SD
RSS,RSS05,5.7,22,SD
RSS,RSS05,22,28.7,
RSS,RSS05,28.7,47.7,SD
RSS,RSS05,47.7,54,CMN
RSS,RSS06,0,10.8,SD
RSS,RSS06,10.8,50,
RSS,RSS06,50,78.3,SD
RSS,RSS06,78.3,80,CMN
RSS,RSS07,0,16.7,SD
RSS,RSS07,16.7,21.2,SD
RSS,RSS07,21.2,40,SD
RSS,RSS08,0,8.4,RSF/DSTRAT
RSS,RSS08,8.4,10.7,RSF/DSTRAT
RSS,RSS08,10.7,11.5,MV
RSS,RSS08,11.5,15.2,RAT
RSS,RSS08,15.2,24.1,RAT
RSS,RSS10,0,52.3,LATERITE
RSS,RSS10,52.3,88.3,SD
RSS,RSS10,88.3,90,BOMZ
RSS,RSS10,90,131.3,CMN
RSS,RSS11,0,51.8,LATERITE
RSS,RSS11,51.8,90,SD
RSS,RSS11,90,116.2,BOMZ
RSS,RSS11,116.2,151,CMN
RSS,RSS12,0,0.4,SOIL
RSS,RSS12,0.4,51.2,LATERITE
RSS,RSS12,51.2,55.7,RSC
RSS,RSS12,55.7,61,SD
RSS,RSS12,61,116.5,SD
RSS,RSS12,116.5,129,BOMZ
RSS,RSS12,129,159,CMN
RSS,RSS13,0,1.8,SOIL
RSS,RSS13,1.8,34.2,LATERITE
